order_no,date,lot_number,currency,buysell,amount,price,rate,fee,swap,pl,total_pl
491061080,2021/12/23 9:59:58,60000564525675,米ドル-円,決済売,10,114.180,-,0,1000,200,1200
486104559,2021/11/26 22:07:57,10000570541135,米ドル-円,新規買,10,114.178,-,0,0,,0
491060999,2021/12/23 9:59:05,60000564525618,米ドル-円,決済売,5,114.174,-,0,500,2750,3250
486033717,2021/11/26 19:11:12,10000570510313,米ドル-円,新規買,5,114.119,-,0,0,,0
489263400,2021/12/13 21:33:57,60000563690053,米ドル-円,決済売,5,113.604,-,0,75,2350,2425
488433945,2021/12/08 9:58:42,10000571570709,米ドル-円,新規買,5,113.557,-,0,0,,0
488427777,2021/12/08 9:26:02,60000563314812,米ドル-円,決済売,5,113.386,-,0,35,300,335
487835264,2021/12/04 0:14:03,10000571308598,米ドル-円,新規買,5,113.380,-,0,0,,0
487696941,2021/12/03 22:30:01,60000563014918,米ドル-円,決済売,5,113.106,-,0,0,-4000,-4000
487624131,2021/12/03 10:09:09,10000571215235,米ドル-円,新規買,5,113.186,-,0,0,,0
