注文番号,約定日,建玉番号,通貨ペア,取引,数量,決済価格(建単価),換算レート,手数料,実現スワップ,実現損益,合計損益
517876930,2022/04/22 2:57:15,60000576792378,米ドル-円,決済売,20,128.102,-,0,0,800,800
517758849,2022/04/21 18:32:06,10000584580965,米ドル-円,新規買,20,128.098,-,0,0,,0
517914798,2022/04/22 0:42:01,60000576776669,米ドル-円,決済売,10,128.567,-,0,0,6000,6000
517900809,2022/04/22 0:03:12,10000584643221,米ドル-円,新規買,20,128.507,-,0,0,,0
517876785,2022/04/21 23:20:03,60000576759698,米ドル-円,決済売,10,128.325,-,0,0,-300,-300
517866670,2022/04/21 22:53:29,10000584628309,米ドル-円,新規買,10,128.328,-,0,0,,0
517694199,2022/04/21 15:37:56,60000576675959,米ドル-円,決済売,10,128.054,-,0,0,-23600,-23600
517619669,2022/04/21 11:35:26,60000576643100,米ドル-円,決済売,10,128.374,-,0,0,8400,8400
517572545,2022/04/21 9:25:47,10000584497991,米ドル-円,新規買,20,128.290,-,0,0,,0
517694087,2022/04/21 15:37:43,60000576675919,米ドル-円,決済売,10,128.047,-,0,0,-35000,-35000
517633967,2022/04/21 12:15:46,60000576650233,米ドル-円,決済売,10,128.535,-,0,0,13800,13800
517618605,2022/04/21 11:31:40,10000584517253,米ドル-円,新規買,20,128.397,-,0,0,,0
517618870,2022/04/21 14:53:13,60000576669765,米ドル-円,決済売,20,128.048,-,0,0,600,600
517556808,2022/04/21 8:42:38,10000584491376,米ドル-円,新規買,20,128.045,-,0,0,,0
517619611,2022/04/21 11:35:05,60000576643071,米ドル-円,決済売,10,128.369,-,0,1170,283100,284270
515808706,2022/04/14 22:18:17,10000583717841,米ドル-円,新規買,20,125.538,-,0,0,,0
517532249,2022/04/21 7:30:37,60000576606757,米ドル-円,決済売,40,128.103,-,0,0,4000,4000
517529915,2022/04/21 7:14:33,10000584479917,米ドル-円,新規買,40,128.093,-,0,0,,0
517454163,2022/04/20 23:06:30,60000576568449,米ドル-円,決済売,10,127.645,-,0,530,109100,109630
515959496,2022/04/15 10:06:52,10000583779463,米ドル-円,新規買,10,126.554,-,0,0,,0
517447593,2022/04/20 22:59:22,60000576565286,米ドル-円,決済売,10,127.938,-,0,160,84300,84460
516387394,2022/04/19 7:34:06,10000583965824,米ドル-円,新規買,10,127.095,-,0,0,,0
517288269,2022/04/20 18:36:20,60000576497324,米ドル-円,決済売,20,127.908,-,0,0,-129600,-129600
517200470,2022/04/20 14:15:37,10000584331766,米ドル-円,新規買,20,128.556,-,0,0,,0
517200445,2022/04/20 14:15:29,60000576457930,米ドル-円,決済売,10,128.552,-,0,330,190200,190530
516113160,2022/04/18 7:23:33,10000583841151,米ドル-円,新規買,10,126.650,-,0,0,,0
517200399,2022/04/20 14:15:13,60000576457914,米ドル-円,決済売,30,128.546,-,0,3690,722100,725790
515273966,2022/04/13 15:35:14,10000583473317,米ドル-円,新規買,30,126.139,-,0,0,,0
516103933,2022/04/16 4:35:57,60000575960130,米ドル-円,決済売,10,126.327,-,0,0,-6800,-6800
516102824,2022/04/16 3:22:36,10000583839096,米ドル-円,新規買,10,126.395,-,0,0,,0
516102483,2022/04/16 3:00:01,60000575959323,米ドル-円,決済売,1,126.379,-,0,0,1510,1510
515945770,2022/04/15 9:21:01,10000583773133,米ドル-円,新規買,1,126.228,-,0,0,,0
516102475,2022/04/16 2:59:36,60000575959317,米ドル-円,決済売,10,126.377,-,0,1280,229400,230680
514183864,2022/04/08 17:03:51,10000582991204,米ドル-円,新規買,10,124.083,-,0,0,,0
515644974,2022/04/14 12:26:35,60000575749160,米ドル-円,決済売,10,125.158,-,0,1120,52400,53520
514783403,2022/04/12 4:16:48,60000575358813,米ドル-円,決済売,10,125.449,-,0,190,81500,81690
514296631,2022/04/08 22:48:30,10000583040526,米ドル-円,新規買,20,124.634,-,0,0,,0
515644901,2022/04/14 12:26:28,60000575749136,米ドル-円,決済売,20,125.165,-,0,2240,136200,138440
514783378,2022/04/12 4:16:09,60000575358807,米ドル-円,決済売,10,125.447,-,0,190,96300,96490
514270295,2022/04/08 22:14:30,10000583029147,米ドル-円,新規買,30,124.484,-,0,0,,0
514824345,2022/04/12 9:20:35,60000575375750,米ドル-円,決済売,20,125.265,-,0,0,-50000,-50000
