order_no,date,lot_number,currency,buysell,amount,price,rate,fee,swap,pl,total_pl
464891267,2021/07/28 20:47:01,60000552560737,米ドル-円,決済売,5,110.078,-,0,0,11950,11950
464786387,2021/07/28 9:06:09,10000561046468,米ドル-円,新規買,5,109.839,-,0,0,,0
464418617,2021/07/26 16:31:57,60000552349529,米ドル-円,決済買,5,110.131,-,0,0,11000,11000
464382975,2021/07/26 11:49:31,10000560863656,米ドル-円,新規売,5,110.351,-,0,0,,0
464289844,2021/07/23 21:58:52,60000552291892,米ドル-円,決済売,5,110.490,-,0,0,7100,7100
464003425,2021/07/22 17:15:34,10000560700587,米ドル-円,新規買,5,110.348,-,0,0,,0
464005054,2021/07/22 17:23:03,60000552161763,米ドル-円,決済売,5,110.333,-,0,0,3600,3600
463994447,2021/07/22 16:47:38,10000560696581,米ドル-円,新規買,5,110.261,-,0,0,,0
463994480,2021/07/22 16:47:47,60000552156753,米ドル-円,決済売,5,110.255,-,0,0,5700,5700
463949549,2021/07/22 11:24:04,10000560675792,米ドル-円,新規買,5,110.141,-,0,0,,0
463913647,2021/07/22 5:24:29,60000552120481,米ドル-円,決済売,5,110.299,-,0,0,5050,5050
463823518,2021/07/21 21:45:06,10000560622052,米ドル-円,新規買,5,110.198,-,0,0,,0
463913642,2021/07/22 5:24:22,60000552120477,米ドル-円,決済売,5,110.299,-,0,0,5550,5550
463821348,2021/07/21 21:37:29,10000560621077,米ドル-円,新規買,5,110.188,-,0,0,,0
463814547,2021/07/21 21:16:40,60000552072303,米ドル-円,決済売,5,110.148,-,0,215,450,665
463092662,2021/07/17 0:26:16,10000560292911,米ドル-円,新規買,5,110.139,-,0,0,,0
463814444,2021/07/21 21:16:26,60000552072273,米ドル-円,決済売,5,110.153,-,0,215,1600,1815
463089470,2021/07/17 0:09:00,10000560291611,米ドル-円,新規買,5,110.121,-,0,0,,0
463756339,2021/07/21 17:20:26,60000552046377,米ドル-円,決済売,5,110.137,-,0,30,13650,13680
463620557,2021/07/20 23:45:29,10000560534123,米ドル-円,新規買,5,109.864,-,0,0,,0
463482481,2021/07/20 18:08:42,60000551920023,米ドル-円,決済売,5,109.590,-,0,0,4750,4750
463398386,2021/07/20 10:38:00,10000560433122,米ドル-円,新規買,5,109.495,-,0,0,,0
463054583,2021/07/16 22:37:39,60000551725662,米ドル-円,決済売,5,110.259,-,0,0,2000,2000
463009980,2021/07/16 20:06:13,10000560256970,米ドル-円,新規買,5,110.219,-,0,0,,0
462977882,2021/07/16 17:37:44,60000551689860,米ドル-円,決済売,5,110.121,-,0,35,4050,4085
462847224,2021/07/15 23:56:38,10000560185711,米ドル-円,新規買,5,110.040,-,0,0,,0
462977840,2021/07/16 17:37:30,60000551689828,米ドル-円,決済売,5,110.131,-,0,0,6700,6700
462910702,2021/07/16 10:56:44,10000560213781,米ドル-円,新規買,5,109.997,-,0,0,,0
462797907,2021/07/15 21:28:46,60000551606725,米ドル-円,決済売,5,110.023,-,0,0,4600,4600
462765239,2021/07/15 19:30:26,10000560150045,米ドル-円,新規買,5,109.931,-,0,0,,0
462416326,2021/07/14 7:24:29,60000551437157,米ドル-円,決済売,5,110.613,-,0,45,13050,13095
462390007,2021/07/14 0:17:58,10000559978597,米ドル-円,新規買,5,110.352,-,0,0,,0
462337805,2021/07/13 22:01:05,60000551400475,米ドル-円,決済売,5,110.516,-,0,45,9600,9645
462130921,2021/07/12 22:45:29,10000559864839,米ドル-円,新規買,5,110.324,-,0,0,,0
462274820,2021/07/13 18:51:09,60000551370891,米ドル-円,決済売,5,110.281,-,0,125,550,675
461423535,2021/07/08 15:17:27,10000559549811,米ドル-円,新規買,5,110.270,-,0,0,,0
461949500,2021/07/10 2:02:46,60000551223117,米ドル-円,決済売,5,110.204,-,0,0,5500,5500
461809659,2021/07/09 18:06:56,10000559723248,米ドル-円,新規買,5,110.094,-,0,0,,0
461949479,2021/07/10 2:02:20,60000551223099,米ドル-円,決済売,5,110.205,-,0,0,7050,7050
461790731,2021/07/09 16:38:32,10000559714947,米ドル-円,新規買,5,110.064,-,0,0,,0
461790762,2021/07/09 16:38:43,60000551147047,米ドル-円,決済売,5,110.061,-,0,0,7700,7700
461738332,2021/07/09 11:56:07,10000559692101,米ドル-円,新規買,5,109.907,-,0,0,,0
461752096,2021/07/09 13:34:57,60000551128662,米ドル-円,決済売,5,109.917,-,0,40,2700,2740
461489570,2021/07/08 17:22:04,10000559582551,米ドル-円,新規買,5,109.863,-,0,0,,0
461324501,2021/07/08 1:43:22,60000550940413,米ドル-円,決済売,5,110.648,-,0,0,2900,2900
461135173,2021/07/07 12:35:39,10000559418229,米ドル-円,新規買,5,110.590,-,0,0,,0
460925417,2021/07/06 18:09:45,60000550761017,米ドル-円,決済買,5,110.804,-,0,-375,5950,5575
460158169,2021/07/01 0:15:00,10000558973507,米ドル-円,新規売,5,110.923,-,0,0,,0
460158054,2021/07/01 0:14:25,60000550406004,米ドル-円,決済売,5,110.915,-,0,325,6050,6375
459445240,2021/06/25 19:38:15,10000558650645,米ドル-円,新規買,5,110.794,-,0,0,,0
460158025,2021/07/01 0:14:17,60000550405992,米ドル-円,決済売,5,110.915,-,0,270,450,720
459663983,2021/06/28 20:46:55,10000558747603,米ドル-円,新規買,5,110.906,-,0,0,,0
460158011,2021/07/01 0:14:11,60000550405988,米ドル-円,決済売,5,110.922,-,0,370,1050,1420
459225278,2021/06/24 16:55:26,10000558552576,米ドル-円,新規買,5,110.901,-,0,0,,0
460157774,2021/07/01 0:13:09,60000550405908,米ドル-円,決済売,5,110.924,-,0,270,10600,10870
459581251,2021/06/28 10:25:28,10000558709615,米ドル-円,新規買,5,110.712,-,0,0,,0
460157721,2021/07/01 0:13:01,60000550405890,米ドル-円,決済売,5,110.931,-,0,60,13100,13160
459831518,2021/06/29 16:49:19,10000558825170,米ドル-円,新規買,5,110.669,-,0,0,,0
460157693,2021/07/01 0:12:54,60000550405867,米ドル-円,決済売,5,110.932,-,0,270,17700,17970
459731041,2021/06/29 0:14:26,10000558779080,米ドル-円,新規買,5,110.578,-,0,0,,0
