注文番号,約定日,建玉番号,通貨ペア,取引,数量,決済価格(建単価),換算レート,手数料,実現スワップ,実現損益,合計損益
501248582,2022/02/17 20:04:17,60000569187895,米ドル-円,決済売,50,115.054,-,0,0,-66000,-66000
501236477,2022/02/17 19:21:37,10000577268671,米ドル-円,新規買,50,115.186,-,0,0,,0
501136403,2022/02/17 15:29:42,60000569147389,米ドル-円,決済売,50,115.330,-,0,0,15500,15500
501135804,2022/02/17 14:09:53,10000577222145,米ドル-円,新規買,50,115.299,-,0,0,,0
500857497,2022/02/16 16:25:23,60000569014154,米ドル-円,決済売,50,115.701,-,0,0,14000,14000
500846711,2022/02/16 15:19:06,10000577089925,米ドル-円,新規買,50,115.673,-,0,0,,0
500835352,2022/02/16 13:05:12,60000569003734,米ドル-円,決済売,40,115.699,-,0,0,6400,6400
500833615,2022/02/16 12:46:53,10000577083966,米ドル-円,新規買,40,115.683,-,0,0,,0
500784237,2022/02/16 3:27:36,60000568982827,米ドル-円,決済売,35,115.613,-,0,0,-29750,-29750
500782290,2022/02/16 2:45:20,10000577062579,米ドル-円,新規買,35,115.698,-,0,0,,0
500759998,2022/02/16 0:14:56,60000568971371,米ドル-円,決済売,60,115.782,-,0,0,56400,56400
500756287,2022/02/16 0:06:16,60000568969530,米ドル-円,決済売,10,115.837,-,0,0,14900,14900
500678667,2022/02/15 20:44:54,10000577016488,米ドル-円,新規買,70,115.688,-,0,0,,0
500756495,2022/02/16 0:12:29,60000568970915,米ドル-円,決済売,10,115.783,-,0,0,900,900
500743061,2022/02/15 23:42:44,10000577045471,米ドル-円,新規買,10,115.774,-,0,0,,0
500481452,2022/02/15 3:11:57,60000568845602,米ドル-円,決済売,40,115.604,-,0,0,48400,48400
500426935,2022/02/14 23:19:20,10000576905426,米ドル-円,新規買,40,115.483,-,0,0,,0
500171689,2022/02/14 10:09:00,60000568705817,米ドル-円,決済売,40,115.527,-,0,0,31200,31200
500130316,2022/02/14 8:02:29,10000576772852,米ドル-円,新規買,40,115.449,-,0,0,,0
499963546,2022/02/11 21:19:21,60000568608006,米ドル-円,決済売,30,115.913,-,0,0,-49800,-49800
499818080,2022/02/11 9:59:27,10000576634198,米ドル-円,新規買,30,116.079,-,0,0,,0
499963546,2022/02/11 21:19:21,60000568608005,米ドル-円,決済売,25,115.913,-,0,0,-28500,-28500
499762534,2022/02/11 3:00:26,10000576610989,米ドル-円,新規買,25,116.027,-,0,0,,0
499963546,2022/02/11 21:19:21,60000568608004,米ドル-円,決済売,15,115.913,-,0,780,210300,211080
498222631,2022/02/03 13:28:01,10000575931894,米ドル-円,新規買,15,114.511,-,0,0,,0
499734918,2022/02/11 1:05:20,60000568503304,米ドル-円,決済売,55,115.899,-,0,0,-9900,-9900
